,,MILK,,,,,EGGS,,,,,RED MEAT,,,,,POULTRY,,,,,STARCHY VEGETABLES,,,,,FISH & SEAFOOD,,,,,VEGETABLES,,,,,FRUIT,,,,,LEGUMES & PULSES,,,,,WHOLE GRAINS,,,,,NUTS,,,,,,
,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=278328832,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=1286927044,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=619456874,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=1250427895,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=651659921,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=504955516,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=305498588,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=254233001,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=705662649,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=1256257963,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=171821835,,,,,,
TOTAL,,kg/per person/year,% per person,total pop,,,,% per person,total pop,,,,% per person,total pop,,,,% per person,total pop,,,,% per person,total pop,,,2399.26,% per person,total pop,,,13703.7,% per person,total pop,,,11913.58,% per person,total pop,,,1268.85,% per person,total pop,,,kg/per person/year,% per person,total pop,,,,% per person,total pop,,,,population
Zambia,,9.71,,112,,,2.42,,28,,,10.78,,124,,,3.32,,38,,,69.63,,801,,,12.05,,139,,,24.67,,284,,,10.23,,118,,,16.93,,195,,,137.29,,1579,,,0,,0,,,,"11,502,010"
Zimbabwe,,31.9,,390,,,1.81,,22,,,8.5,,104,,,4.83,,59,,,19.21,,235,,,3.73,,46,,,15.69,,192,,,15.32,,187,,,4.41,,54,,,120.21,,1471,,,0.09,,1,,,,"12,236,805"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,8829,1137.38,6.78%,25613,5.19%,,101.48,9.82%,2036,3.06%,,210.45,5.13%,4119,2.20%,,363.47,14.51%,6662,6.46%,,468.51,4.52%,13238,3.48%,,196.06,8.17%,4503,3.43%,,1938.96,14.15%,47656,5.07%,,1532.3,12.86%,35632,7.15%,,124.86,9.84%,2736,4.04%,,2711.81,12.70%,74635,6.95%,,43.52,15.80%,1236,8.51%,,,"389,455,861"
average kg/y for region,,71.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of all foods,100.00%,12.88%,,,,,1.15%,,,,,2.38%,,,,,4.12%,,,,,5.31%,,,,,2.22%,,,,,21.96%,,,,,17.36%,,,,,1.41%,,,,,30.72%,,,,,0.49%,,,,,,
Algeria,,141.53,,4661,,,8.43,,278,,,4.64,,153,,,6.98,,230,,,67.1,,2210,,,3.86,,127,,,186.08,,6128,,,114.19,,3760,,,7.89,,260,,,218.3,,7189,,,1.54,,51,,,,"32,930,091"
Morocco,,54.68,,1818,,,6.79,,226,,,7.07,,235,,,20.26,,673,,,41.26,,1372,,,19.47,,647,,,102.05,,3392,,,85.31,,2836,,,7.35,,244,,,263.94,,8774,,,3.69,,123,,,,"33,241,259"
Sudan,,155.2,,6400,,,0.74,,31,,,19.55,,806,,,1.6,,66,,,20.47,,844,,,1.03,,42,,,84.49,,3484,,,78.96,,3256,,,14.06,,580,,,137.17,,5656,,,0,,0,,,,"41,236,378"
Tunisia,,114.47,,1165,,,7.79,,79,,,11.05,,112,,,17.34,,176,,,31.38,,319,,,13.16,,134,,,272.58,,2774,,,90.59,,922,,,8.79,,89,,,210.05,,2137,,,5.68,,58,,,,"10,175,014"
Libya,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,0,,0,,,,,0,,,,,0,,,0,,0,,,0,,0,,,0,,0,,,,"5,900,754"
Egypt,,41.2,,3250,,,3.45,,272,,,13.38,,1056,,,17.38,,1371,,,35.27,,2782,,,23.69,,1869,,,159.33,,12569,,,102.6,,8094,,,5.81,,458,,,253.45,,19994,,,0.38,,30,,,,"78,887,007"
Iran,,53.8,,3695,,,7.38,,507,,,9.9,,680,,,27.24,,1871,,,56.26,,3864,,,11.73,,806,,,187.98,,12912,,,133.15,,9146,,,7.49,,514,,,196.58,,13503,,,12.12,,833,,,,"68,688,433"
Iraq,,15,,402,,,9.44,,253,,,4.73,,127,,,9.44,,253,,,18.14,,486,,,3.37,,90,,,37.53,,1005,,,45.98,,1231,,,4.49,,120,,,187.26,,5015,,,1.09,,29,,,,"26,783,383"
Israel,,192.4,,1222,,,9.99,,63,,,30.55,,194,,,67.54,,429,,,35.1,,223,,,25.92,,165,,,156.24,,992,,,118.83,,755,,,8.03,,51,,,144.86,,920,,,3.88,,25,,,,"6,352,117"
